TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: c7cf1ff73cd57943d18ae17fe274f46
TRADE LOOPS (137 total trades):

(ALCMAGALHAES) 8634387       receives (GLMIRANDA) 8641807
(GLMIRANDA) 8641807          receives (LUCASCMEDEIROS) 8642251
(LUCASCMEDEIROS) 8642251     receives (DANIELCS) 8640478
(DANIELCS) 8640478           receives (FMDS) 8634603
(FMDS) 8634603               receives (TREMERESL) 8641826
(TREMERESL) 8641826          receives (O_ENRICAO) 8641789
(O_ENRICAO) 8641789          receives (AVLEDOLIVEIRA) 8632801
(AVLEDOLIVEIRA) 8632801      receives (ROBERTOTJR) 8642041
(ROBERTOTJR) 8642041         receives (ERICINLINUX) 8641931
(ERICINLINUX) 8641931        receives (BRUNOBENTO) 8641935
(BRUNOBENTO) 8641935         receives (HICKMORAIS) 8638353
(HICKMORAIS) 8638353         receives (THUNDERXT) 8637194
(THUNDERXT) 8637194          receives (DONUBRAN) 8639500
(DONUBRAN) 8639500           receives (GENTLEPYRO) 8632303
(GENTLEPYRO) 8632303         receives (SERGIMCVO) 8642124
(SERGIMCVO) 8642124          receives (M4LK4V) 8642003
(M4LK4V) 8642003             receives (PHILLZIS) 8641895
(PHILLZIS) 8641895           receives (MARCOS_VINICIUS) 8632255
(MARCOS_VINICIUS) 8632255    receives (AVLEDOLIVEIRA) 8632789
(AVLEDOLIVEIRA) 8632789      receives (MISTERD909) 8632527
(MISTERD909) 8632527         receives (RMCORREA) 8638695
(RMCORREA) 8638695           receives (NANDONEVES2404) 8632369
(NANDONEVES2404) 8632369     receives (NATHALIAOLGO) 8635693
(NATHALIAOLGO) 8635693       receives (THIAGO_MATOS) 8636385
(THIAGO_MATOS) 8636385       receives (LUCASCMEDEIROS) 8629994
(LUCASCMEDEIROS) 8629994     receives (ROBINSONFERRARI) 8641916
(ROBINSONFERRARI) 8641916    receives (ANDRELRUAS) 8640713
(ANDRELRUAS) 8640713         receives (SERGIMCVO) 8639823
(SERGIMCVO) 8639823          receives (ROBINSONFERRARI) 8641833
(ROBINSONFERRARI) 8641833    receives (GLMIRANDA) 8632090
(GLMIRANDA) 8632090          receives (SERGIMCVO) 8642158
(SERGIMCVO) 8642158          receives (BRUNOBENTO) 8641661
(BRUNOBENTO) 8641661         receives (SERGIMCVO) 8642108
(SERGIMCVO) 8642108          receives (YAKKOOWARNER) 8641746
(YAKKOOWARNER) 8641746       receives (FILIPERR) 8641617
(FILIPERR) 8641617           receives (THIAGO_MATOS) 8631872
(THIAGO_MATOS) 8631872       receives (RMCORREA) 8638681
(RMCORREA) 8638681           receives (FMDS) 8634595
(FMDS) 8634595               receives (SERGIMCVO) 8642160
(SERGIMCVO) 8642160          receives (RMCORREA) 8638677
(RMCORREA) 8638677           receives (GLMIRANDA) 8632099
(GLMIRANDA) 8632099          receives (MARSHA09) 8629343
(MARSHA09) 8629343           receives (GLMIRANDA) 8632108
(GLMIRANDA) 8632108          receives (BRUNOBENTO) 8641879
(BRUNOBENTO) 8641879         receives (GUIFROSSARD) 8632383
(GUIFROSSARD) 8632383        receives (LUCASCMEDEIROS) 8635449
(LUCASCMEDEIROS) 8635449     receives (DOUGLASHIPNOTISTA) 8641987
(DOUGLASHIPNOTISTA) 8641987  receives (PSCHULMAN) 8640119
(PSCHULMAN) 8640119          receives (M4LK4V) 8642012
(M4LK4V) 8642012             receives (BRUNOBENTO) 8641797
(BRUNOBENTO) 8641797         receives (SERGIMCVO) 8639832
(SERGIMCVO) 8639832          receives (SALOMONFE) 8636474
(SALOMONFE) 8636474          receives (MISTERD909) 8632525
(MISTERD909) 8632525         receives (DANIBOUCAS) 8641966
(DANIBOUCAS) 8641966         receives (ROBINSONFERRARI) 8641808
(ROBINSONFERRARI) 8641808    receives (SERGIMCVO) 8642147
(SERGIMCVO) 8642147          receives (WAN42) 8636167
(WAN42) 8636167              receives (REDOUTLAW) 8631736
(REDOUTLAW) 8631736          receives (LUCASCMEDEIROS) 8642250
(LUCASCMEDEIROS) 8642250     receives (VOLATYLE) 8635185
(VOLATYLE) 8635185           receives (NANDONEVES2404) 8632425
(NANDONEVES2404) 8632425     receives (RMCORREA) 8638726
(RMCORREA) 8638726           receives (AVLEDOLIVEIRA) 8632791
(AVLEDOLIVEIRA) 8632791      receives (ROBINSONFERRARI) 8641880
(ROBINSONFERRARI) 8641880    receives (BRUNOBENTO) 8641618
(BRUNOBENTO) 8641618         receives (THIAGO_MATOS) 8631874
(THIAGO_MATOS) 8631874       receives (DOUGLASHIPNOTISTA) 8641884
(DOUGLASHIPNOTISTA) 8641884  receives (ALCMAGALHAES) 8641540
(ALCMAGALHAES) 8641540       receives (DPMPESSOA) 8641998
(DPMPESSOA) 8641998          receives (MARSHA09) 8629384
(MARSHA09) 8629384           receives (SERGIMCVO) 8639854
(SERGIMCVO) 8639854          receives (BRUNOBENTO) 8641734
(BRUNOBENTO) 8641734         receives (WAN42) 8636169
(WAN42) 8636169              receives (PHILLZIS) 8633303
(PHILLZIS) 8633303           receives (ENYOSALDANHA) 8641461
(ENYOSALDANHA) 8641461       receives (ROBINSONFERRARI) 8641849
(ROBINSONFERRARI) 8641849    receives (TREMERESL) 8641818
(TREMERESL) 8641818          receives (MARCOSGPMELO) 8641999
(MARCOSGPMELO) 8641999       receives (DOUGLASHIPNOTISTA) 8641964
(DOUGLASHIPNOTISTA) 8641964  receives (GLMIRANDA) 8632124
(GLMIRANDA) 8632124          receives (MARCUSWQUIRINO) 8639489
(MARCUSWQUIRINO) 8639489     receives (ALCMAGALHAES) 8634387

(ALCMAGALHAES) 8635365       receives (SERGIMCVO) 8642136
(SERGIMCVO) 8642136          receives (FMDS) 8634549
(FMDS) 8634549               receives (MARCOSFSOUZA) 8632186
(MARCOSFSOUZA) 8632186       receives (SERGIMCVO) 8642121
(SERGIMCVO) 8642121          receives (MARSHA09) 8629461
