TradeMaximizer Version 1.4aMT
Input from: ./julho2021/wants.txt
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: ec726b75b2a0361c2bf12d607de6f2b5
TRADE LOOPS (396 total trades):

(ALCMAGALHAES) 8380829     receives (DPMPESSOA) 8382374
(DPMPESSOA) 8382374        receives (TREMERESL) 8388610
(TREMERESL) 8388610        receives (SERGIMCVO) 8383838
(SERGIMCVO) 8383838        receives (DDATHAYDE) 8383258
(DDATHAYDE) 8383258        receives (SERGIMCVO) 8380463
(SERGIMCVO) 8380463        receives (TATO30001) 8386947
(TATO30001) 8386947        receives (GLMIRANDA) 8388703
(GLMIRANDA) 8388703        receives (SERGIMCVO) 8380435
(SERGIMCVO) 8380435        receives (DANIELSANTOS60) 8379686
(DANIELSANTOS60) 8379686   receives (ALCMAGALHAES) 8380861
(ALCMAGALHAES) 8380861     receives (RMCORREA) 8381611
(RMCORREA) 8381611         receives (ROGERIORUSSO) 8385219
(ROGERIORUSSO) 8385219     receives (SERGIMCVO) 8387069
(SERGIMCVO) 8387069        receives (SIRGIGANTE) 8379831
(SIRGIGANTE) 8379831       receives (THIAGO_MATOS) 8382512
(THIAGO_MATOS) 8382512     receives (ENYOSALDANHA) 8379655
(ENYOSALDANHA) 8379655     receives (TREMERESL) 8388710
(TREMERESL) 8388710        receives (BRUNOBENTO) 8381909
(BRUNOBENTO) 8381909       receives (ENYOSALDANHA) 8387625
(ENYOSALDANHA) 8387625     receives (HICKMORAIS) 8379734
(HICKMORAIS) 8379734       receives (SLATERS) 8386263
(SLATERS) 8386263          receives (MARSHA09) 8388233
(MARSHA09) 8388233         receives (LUCASCMEDEIROS) 8384358
(LUCASCMEDEIROS) 8384358   receives (DANIELCS) 8380996
(DANIELCS) 8380996         receives (IVANPUMA) 8388356
(IVANPUMA) 8388356         receives (DONGABES) 8383891
(DONGABES) 8383891         receives (VOLATYLE) 8383075
(VOLATYLE) 8383075         receives (ALISONARANTES) 8382879
(ALISONARANTES) 8382879    receives (DONUBRAN) 8384536
(DONUBRAN) 8384536         receives (VROCKBHZ) 8382906
(VROCKBHZ) 8382906         receives (DPMPESSOA) 8382376
(DPMPESSOA) 8382376        receives (RMCORREA) 8379732
(RMCORREA) 8379732         receives (TREMERESL) 8388609
(TREMERESL) 8388609        receives (SERGIMCVO) 8383791
(SERGIMCVO) 8383791        receives (ALCMAGALHAES) 8380853
(ALCMAGALHAES) 8380853     receives (GATTONI) 8384460
(GATTONI) 8384460          receives (PHILLZIS) 8383604
(PHILLZIS) 8383604         receives (AVLEDOLIVEIRA) 8379777
(AVLEDOLIVEIRA) 8379777    receives (GATTONI) 8384466
(GATTONI) 8384466          receives (GLMIRANDA) 8388693
(GLMIRANDA) 8388693        receives (NANDONEVES2404) 8379914
(NANDONEVES2404) 8379914   receives (RMCORREA) 8379758
(RMCORREA) 8379758         receives (BRUNOBENTO) 8387624
(BRUNOBENTO) 8387624       receives (M4LK4V) 8380087
